Tiêu đề khóa học,Mô tả,Giá (VNĐ)
Khóa học Lập trình Java nâng cao 1,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Elizabeth Davis",542859
Khóa học Lập trình Java nâng cao 2,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Melissa Robinson",782318
Khóa học Lập trình Java nâng cao 3,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Omar Kelley",1306346
Khóa học Lập trình Java nâng cao 4,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Regina Vasquez",906976
Khóa học Lập trình Java nâng cao 5,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Lisa Wright",426105
Khóa học Lập trình Java nâng cao 6,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Joanna Schultz",1139039
Khóa học Lập trình Java nâng cao 7,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Glenn Ford",758872
Khóa học Lập trình Java nâng cao 8,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Troy Knox",785088
Khóa học Lập trình Java nâng cao 9,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Brian Jackson",1425112
Khóa học Lập trình Java nâng cao 10,"Khóa học này giúp bạn nâng cao kỹ năng lập trình Java thông qua các dự án thực tế. Bạn sẽ được học về lập trình hướng đối tượng nâng cao, xử lý ngoại lệ, kết nối cơ sở dữ liệu với JDBC, thiết kế giao diện bằng JavaFX và xây dựng ứng dụng hoàn chỉnh.

Nội dung khóa học:
- Lập trình hướng đối tượng nâng cao
- Collections, Generics và xử lý dữ liệu
- Kết nối cơ sở dữ liệu với JDBC
- Thiết kế giao diện với JavaFX
- Xây dựng ứng dụng thực tế từ A-Z

Giảng viên: Gabriela Sutton",950866
